date_hours,anger,fear,joy,love,neutral,sadness,total labels
2022-10-17 01:00:00+00:00,0,0,0,0,1,0,1
2022-10-17 04:00:00+00:00,0,0,0,0,1,0,1
2022-10-17 09:00:00+00:00,0,0,0,0,1,0,1
2022-10-17 13:00:00+00:00,0,0,0,0,1,0,1
2022-10-17 21:00:00+00:00,0,0,0,0,2,0,2
2022-10-17 22:00:00+00:00,1,0,0,0,1,0,2
2022-10-17 23:00:00+00:00,0,0,0,0,1,0,1
2022-10-18 00:00:00+00:00,0,0,0,0,4,0,4
2022-10-18 02:00:00+00:00,0,0,0,0,1,0,1
2022-10-18 03:00:00+00:00,0,0,1,0,0,0,1
2022-10-18 04:00:00+00:00,0,0,0,0,1,0,1
2022-10-18 05:00:00+00:00,0,0,2,0,11,0,13
2022-10-18 06:00:00+00:00,6,1,3,0,48,0,58
2022-10-18 07:00:00+00:00,2,0,0,0,19,0,21
2022-10-18 08:00:00+00:00,3,0,1,0,30,0,34
2022-10-18 09:00:00+00:00,6,0,4,0,24,0,34
2022-10-18 10:00:00+00:00,2,0,1,0,24,0,27
2022-10-18 11:00:00+00:00,2,0,0,0,25,0,27
2022-10-18 12:00:00+00:00,4,0,1,0,17,0,22
2022-10-18 13:00:00+00:00,6,0,2,0,26,0,34
2022-10-18 14:00:00+00:00,7,1,3,0,27,1,39
2022-10-18 15:00:00+00:00,11,1,2,0,61,0,75
2022-10-18 16:00:00+00:00,11,2,3,1,32,0,49
2022-10-18 17:00:00+00:00,10,0,4,0,22,0,36
2022-10-18 18:00:00+00:00,10,2,5,0,20,0,37
2022-10-18 19:00:00+00:00,12,0,12,1,20,0,45
2022-10-18 20:00:00+00:00,14,0,13,0,22,0,49
2022-10-18 21:00:00+00:00,14,0,2,0,21,0,37
2022-10-18 22:00:00+00:00,5,1,3,0,10,0,19
2022-10-18 23:00:00+00:00,2,0,0,0,5,0,7
2022-10-19 00:00:00+00:00,0,0,0,0,3,0,3
2022-10-19 01:00:00+00:00,0,0,2,0,1,0,3
2022-10-19 03:00:00+00:00,0,0,0,0,4,0,4
2022-10-19 04:00:00+00:00,1,0,0,0,2,0,3
2022-10-19 05:00:00+00:00,6,1,3,0,10,0,20
2022-10-19 06:00:00+00:00,4,0,3,0,35,0,42
2022-10-19 07:00:00+00:00,3,1,3,0,42,0,49
2022-10-19 08:00:00+00:00,15,0,4,0,34,0,53
2022-10-19 09:00:00+00:00,10,0,5,0,26,0,41
2022-10-19 10:00:00+00:00,5,0,6,0,16,0,27
2022-10-19 11:00:00+00:00,16,1,4,0,38,0,59
2022-10-19 12:00:00+00:00,6,0,29,0,37,0,72
2022-10-19 13:00:00+00:00,9,1,10,0,30,0,50
2022-10-19 14:00:00+00:00,20,2,8,0,56,0,86
2022-10-19 15:00:00+00:00,22,3,4,0,37,0,66
2022-10-19 16:00:00+00:00,23,2,4,0,54,0,83
2022-10-19 17:00:00+00:00,18,0,8,0,26,0,52
2022-10-19 18:00:00+00:00,25,1,11,0,27,0,64
2022-10-19 19:00:00+00:00,26,1,3,0,29,0,59
2022-10-19 20:00:00+00:00,63,4,51,0,291,1,410
2022-10-19 21:00:00+00:00,165,10,180,0,169,0,524
2022-10-19 22:00:00+00:00,24,1,24,0,44,0,93
2022-10-19 23:00:00+00:00,11,0,8,0,17,0,36
2022-10-20 00:00:00+00:00,4,0,5,0,11,0,20
2022-10-20 01:00:00+00:00,4,0,2,0,8,0,14
2022-10-20 02:00:00+00:00,1,0,6,0,12,0,19
2022-10-20 03:00:00+00:00,3,0,3,0,14,0,20
2022-10-20 04:00:00+00:00,14,0,18,0,30,0,62
2022-10-20 05:00:00+00:00,24,2,37,0,49,0,112
2022-10-20 06:00:00+00:00,34,2,23,0,31,0,90
2022-10-20 07:00:00+00:00,41,0,24,0,45,0,110
2022-10-20 08:00:00+00:00,28,4,13,0,32,0,77
2022-10-20 09:00:00+00:00,43,1,12,0,38,0,94
2022-10-20 10:00:00+00:00,66,2,21,0,86,0,175
2022-10-20 11:00:00+00:00,41,0,12,1,22,0,76
2022-10-20 12:00:00+00:00,17,0,5,0,17,0,39
2022-10-20 13:00:00+00:00,14,0,4,0,16,0,34
2022-10-20 14:00:00+00:00,15,1,6,0,15,0,37
2022-10-20 15:00:00+00:00,10,0,14,0,11,0,35
2022-10-20 16:00:00+00:00,17,0,16,0,16,0,49
2022-10-20 17:00:00+00:00,14,0,12,0,12,0,38
2022-10-20 18:00:00+00:00,13,1,13,0,13,0,40
2022-10-20 19:00:00+00:00,5,1,8,0,7,0,21
2022-10-20 20:00:00+00:00,3,0,7,0,3,0,13
2022-10-20 21:00:00+00:00,4,0,3,1,5,0,13
2022-10-20 22:00:00+00:00,3,0,3,0,2,0,8
2022-10-20 23:00:00+00:00,1,0,1,0,1,0,3
